reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,999.63,19,Extinction,0.1295
true,1536.95,23,Extinction,0.1761
true,1003.88,17,Extinction,0.1110
true,1664.32,29,Extinction,0.2795
true,906.20,17,Extinction,0.1110
true,1574.64,25,Extinction,0.2055
true,773.59,15,Extinction,0.0952
true,1744.24,30,Extinction,0.3019
true,1441.67,26,Extinction,0.2219
false,2027.58,33,TCS_AI,0.3803
false,2021.07,35,TCS_Human,0.4436
true,1107.17,21,Extinction,0.1510
true,624.71,10,Extinction,0.0648
true,1306.29,21,Extinction,0.1510
true,424.29,7,Extinction,0.0514
true,577.77,11,Extinction,0.0699
true,1183.51,20,Extinction,0.1398
true,712.97,14,Extinction,0.0881
true,1554.74,29,Extinction,0.2795
true,1449.95,25,Extinction,0.2055
true,1957.24,37,Extinction,0.5174
false,2055.86,31,TCS_Human,0.3260
true,49.98,2,Extinction,0.0350
true,1859.83,32,Extinction,0.3521
false,2013.24,33,TCS_Human,0.3803
true,1234.77,21,Extinction,0.1510
false,2053.03,34,Corruption,0.4107
true,1306.34,20,Extinction,0.1398
true,1990.86,37,Extinction,0.5174
true,1636.00,27,Extinction,0.2396
true,740.50,12,Extinction,0.0755
true,1788.96,32,Extinction,0.3521
true,605.62,10,Extinction,0.0648
true,1168.84,21,Extinction,0.1510
true,995.42,17,Extinction,0.1110
true,1002.23,19,Extinction,0.1295
true,603.12,11,Extinction,0.0699
true,1790.65,29,Extinction,0.2795
false,2002.89,35,TCS_Human,0.4436
true,689.63,12,Extinction,0.0755
false,2008.29,31,Corruption,0.3260
true,1268.99,21,Extinction,0.1510
true,256.86,5,Extinction,0.0441
true,1251.16,23,Extinction,0.1761
true,1446.13,26,Extinction,0.2219
true,600.41,10,Extinction,0.0648
true,925.78,16,Extinction,0.1028
true,1749.20,30,Extinction,0.3019
true,405.76,8,Extinction,0.0555
true,1215.51,19,Extinction,0.1295
true,608.80,13,Extinction,0.0816
true,1694.66,27,Extinction,0.2396
true,827.12,18,Extinction,0.1199
true,1479.58,26,Extinction,0.2219
true,1568.02,26,Extinction,0.2219
true,753.46,13,Extinction,0.0816
false,2010.59,36,TCS_Human,0.4790
true,1697.09,31,Extinction,0.3260
true,1219.23,22,Extinction,0.1631
true,932.53,15,Extinction,0.0952
true,1126.70,18,Extinction,0.1199
true,1748.03,32,Extinction,0.3521
true,1331.08,23,Extinction,0.1761
true,380.22,6,Extinction,0.0476
true,232.13,4,Extinction,0.0408
true,1769.85,28,Extinction,0.2588
true,1469.51,25,Extinction,0.2055
true,483.37,8,Extinction,0.0555
true,1092.67,19,Extinction,0.1295
true,1606.37,27,Extinction,0.2396
false,2022.54,33,Corruption,0.3803
true,1215.77,22,Extinction,0.1631
false,2024.84,31,Corruption,0.3260
true,1238.03,21,Extinction,0.1510
true,1297.41,21,Extinction,0.1510
false,2008.83,32,Corruption,0.3521
true,52.03,2,Extinction,0.0350
false,2065.73,30,TCS_Human,0.3019
true,1728.55,31,Extinction,0.3260
true,1747.14,31,Extinction,0.3260
true,1613.53,28,Extinction,0.2588
true,1581.57,26,Extinction,0.2219
true,930.39,18,Extinction,0.1199
true,1810.59,34,Extinction,0.4107
true,1622.11,29,Extinction,0.2795
true,1511.56,26,Extinction,0.2219
true,167.35,4,Extinction,0.0408
true,990.41,17,Extinction,0.1110
true,719.94,14,Extinction,0.0881
true,674.47,13,Extinction,0.0816
true,245.12,4,Extinction,0.0408
true,954.99,17,Extinction,0.1110
true,1101.17,20,Extinction,0.1398
true,261.14,5,Extinction,0.0441
true,728.97,15,Extinction,0.0952
true,657.38,14,Extinction,0.0881
true,437.53,9,Extinction,0.0600
true,431.09,8,Extinction,0.0555
true,132.03,3,Extinction,0.0378
true,1998.73,35,Extinction,0.4436
true,1499.47,24,Extinction,0.1902
true,633.12,12,Extinction,0.0755
false,2017.31,33,Corruption,0.3803
true,217.38,6,Extinction,0.0476
true,1020.13,18,Extinction,0.1199
true,1600.44,28,Extinction,0.2588
true,570.01,10,Extinction,0.0648
true,1529.42,26,Extinction,0.2219
true,1915.63,35,Extinction,0.4436
true,787.23,15,Extinction,0.0952
true,794.27,14,Extinction,0.0881
true,1764.07,30,Extinction,0.3019
true,1792.70,31,Extinction,0.3260
true,1983.25,31,Extinction,0.3260
true,995.94,16,Extinction,0.1028
true,691.37,11,Extinction,0.0699
true,1677.74,29,Extinction,0.2795
true,1079.66,20,Extinction,0.1398
false,2032.41,31,Corruption,0.3260
false,2035.87,31,Corruption,0.3260
true,1842.39,31,Extinction,0.3260
false,2016.57,29,Corruption,0.2795
true,1776.94,32,Extinction,0.3521
true,1814.76,35,Extinction,0.4436
true,654.90,11,Extinction,0.0699
true,1478.88,26,Extinction,0.2219
true,75.36,2,Extinction,0.0350
false,2030.55,33,Corruption,0.3803
true,370.88,8,Extinction,0.0555
true,1178.76,22,Extinction,0.1631
true,1767.99,31,Extinction,0.3260
true,720.47,13,Extinction,0.0816
true,1156.93,22,Extinction,0.1631
true,51.76,2,Extinction,0.0350
true,160.66,4,Extinction,0.0408
true,1709.95,28,Extinction,0.2588
true,871.99,16,Extinction,0.1028
true,996.17,18,Extinction,0.1199
true,186.81,4,Extinction,0.0408
true,880.06,16,Extinction,0.1028
false,2036.34,30,TCS_AI,0.3019
true,1351.85,24,Extinction,0.1902
true,1749.48,31,Extinction,0.3260
true,993.53,19,Extinction,0.1295
true,671.24,14,Extinction,0.0881
true,496.25,8,Extinction,0.0555
true,1683.09,31,Extinction,0.3260
true,802.42,15,Extinction,0.0952
false,2042.90,32,Corruption,0.3521
true,1124.71,19,Extinction,0.1295
true,471.15,9,Extinction,0.0600
true,1983.38,33,Extinction,0.3803
true,1112.82,19,Extinction,0.1295
true,1678.86,29,Extinction,0.2795
true,1976.24,34,Extinction,0.4107
true,1744.01,29,Extinction,0.2795
true,1272.47,20,Extinction,0.1398
true,1729.30,32,Extinction,0.3521
true,1837.13,32,Extinction,0.3521
false,2002.43,31,TCS_Human,0.3260
true,104.05,4,Extinction,0.0408
true,1951.39,36,Extinction,0.4790
true,1518.22,28,Extinction,0.2588
true,1487.94,26,Extinction,0.2219
true,1500.26,26,Extinction,0.2219
false,2042.85,37,TCS_AI,0.5174
true,1602.81,26,Extinction,0.2219
true,1649.47,29,Extinction,0.2795
true,622.37,12,Extinction,0.0755
false,2045.37,35,TCS_AI,0.4436
true,848.75,14,Extinction,0.0881
true,1625.92,31,Extinction,0.3260
true,1058.62,21,Extinction,0.1510
true,198.21,5,Extinction,0.0441
false,2037.32,34,TCS_Human,0.4107
true,1372.76,24,Extinction,0.1902
true,1475.82,27,Extinction,0.2396
false,2012.40,31,TCS_AI,0.3260
true,444.10,8,Extinction,0.0555
true,235.90,6,Extinction,0.0476
true,1583.46,28,Extinction,0.2588
true,1021.58,20,Extinction,0.1398
true,1558.23,26,Extinction,0.2219
false,2043.22,34,TCS_Human,0.4107
true,1579.36,26,Extinction,0.2219
true,447.53,9,Extinction,0.0600
true,1084.46,19,Extinction,0.1295
true,943.50,15,Extinction,0.0952
false,2022.90,38,TCS_Human,0.5588
true,1578.28,27,Extinction,0.2396
true,854.56,15,Extinction,0.0952
true,765.51,14,Extinction,0.0881
false,2013.65,33,TCS_Human,0.3803
true,1086.31,19,Extinction,0.1295
true,1822.69,31,Extinction,0.3260
true,1083.01,20,Extinction,0.1398
true,928.14,16,Extinction,0.1028
false,2043.73,33,Corruption,0.3803
true,1695.14,27,Extinction,0.2396
true,1608.91,30,Extinction,0.3019
true,1087.56,22,Extinction,0.1631
false,2002.73,34,Corruption,0.4107
false,2014.78,32,TCS_Human,0.3521
false,2016.15,32,Corruption,0.3521
true,1704.32,28,Extinction,0.2588
true,1790.71,31,Extinction,0.3260
true,1038.54,18,Extinction,0.1199
true,1568.82,28,Extinction,0.2588
true,1443.67,24,Extinction,0.1902
true,1034.33,17,Extinction,0.1110
true,1161.13,19,Extinction,0.1295
true,241.50,5,Extinction,0.0441
true,606.73,10,Extinction,0.0648
true,1687.57,26,Extinction,0.2219
true,1981.70,32,Extinction,0.3521
true,707.17,12,Extinction,0.0755
true,337.37,8,Extinction,0.0555
true,658.90,14,Extinction,0.0881
true,1814.63,29,Extinction,0.2795
false,2036.01,35,Corruption,0.4436
true,890.10,16,Extinction,0.1028
true,619.85,10,Extinction,0.0648
true,1488.11,28,Extinction,0.2588
false,2005.47,36,Corruption,0.4790
true,1498.00,23,Extinction,0.1761
true,1634.42,31,Extinction,0.3260
true,1442.85,26,Extinction,0.2219
true,1077.68,19,Extinction,0.1295
true,1692.27,31,Extinction,0.3260
true,776.99,14,Extinction,0.0881
false,2017.48,35,Corruption,0.4436
true,792.50,16,Extinction,0.1028
true,375.21,8,Extinction,0.0555
true,239.78,4,Extinction,0.0408
true,344.06,8,Extinction,0.0555
true,1401.52,24,Extinction,0.1902
true,898.07,15,Extinction,0.0952
true,1908.19,32,Extinction,0.3521
true,796.76,14,Extinction,0.0881
true,1619.91,26,Extinction,0.2219
false,2000.55,33,TCS_Human,0.3803
true,1249.26,19,Extinction,0.1295
true,815.03,15,Extinction,0.0952
true,441.01,8,Extinction,0.0555
true,1934.17,30,Extinction,0.3019
true,1341.37,23,Extinction,0.1761
false,2022.78,34,TCS_Human,0.4107
true,1937.38,33,Extinction,0.3803
false,2060.49,35,TCS_Human,0.4436
true,303.63,6,Extinction,0.0476
true,1526.64,28,Extinction,0.2588
true,1244.38,24,Extinction,0.1902
true,1000.49,19,Extinction,0.1295
true,920.54,17,Extinction,0.1110
false,2003.26,31,TCS_AI,0.3260
false,2027.16,36,Corruption,0.4790
true,1720.76,30,Extinction,0.3019
true,1180.17,20,Extinction,0.1398
true,1270.22,24,Extinction,0.1902
true,383.58,8,Extinction,0.0555
true,217.94,4,Extinction,0.0408
true,1047.18,19,Extinction,0.1295
true,1200.81,19,Extinction,0.1295
true,1216.89,22,Extinction,0.1631
true,1693.91,29,Extinction,0.2795
false,2067.30,36,TCS_AI,0.4790
true,420.91,8,Extinction,0.0555
true,1636.96,30,Extinction,0.3019
true,740.65,14,Extinction,0.0881
true,1334.66,22,Extinction,0.1631
true,1154.49,22,Extinction,0.1631
true,1355.14,25,Extinction,0.2055
true,980.38,19,Extinction,0.1295
true,57.92,2,Extinction,0.0350
true,120.41,4,Extinction,0.0408
true,1151.28,20,Extinction,0.1398
true,867.18,18,Extinction,0.1199
true,1122.71,20,Extinction,0.1398
true,541.64,11,Extinction,0.0699
true,1021.28,19,Extinction,0.1295
true,1592.85,29,Extinction,0.2795
true,1273.92,24,Extinction,0.1902
true,963.71,18,Extinction,0.1199
false,2016.66,35,TCS_AI,0.4436
true,1684.38,31,Extinction,0.3260
true,681.83,11,Extinction,0.0699
false,2037.39,35,TCS_AI,0.4436
true,1221.40,21,Extinction,0.1510
true,1984.88,36,Extinction,0.4790
true,1219.98,21,Extinction,0.1510
true,1769.71,30,Extinction,0.3019
true,1304.54,21,Extinction,0.1510
true,869.47,16,Extinction,0.1028
true,1744.81,28,Extinction,0.2588
true,521.26,11,Extinction,0.0699
true,1836.95,32,Extinction,0.3521
true,525.30,10,Extinction,0.0648
true,1042.40,17,Extinction,0.1110
true,901.88,16,Extinction,0.1028
true,1278.17,22,Extinction,0.1631
true,1342.59,23,Extinction,0.1761
true,295.09,6,Extinction,0.0476
true,1858.01,35,Extinction,0.4436
true,567.15,10,Extinction,0.0648
true,1267.53,23,Extinction,0.1761
true,924.69,18,Extinction,0.1199
true,400.93,7,Extinction,0.0514
true,1183.04,21,Extinction,0.1510
false,2027.51,31,Corruption,0.3260
true,693.42,13,Extinction,0.0816
true,1567.30,29,Extinction,0.2795
false,2013.63,31,TCS_Human,0.3260
true,1841.63,31,Extinction,0.3260
true,1105.57,20,Extinction,0.1398
true,373.98,8,Extinction,0.0555
true,1522.40,29,Extinction,0.2795
true,1897.91,31,Extinction,0.3260
true,1091.44,21,Extinction,0.1510
true,1248.34,21,Extinction,0.1510
false,2099.68,33,Corruption,0.3803
true,1134.75,17,Extinction,0.1110
false,2014.92,34,TCS_AI,0.4107
true,1263.05,21,Extinction,0.1510
true,579.50,11,Extinction,0.0699
true,827.44,16,Extinction,0.1028
true,350.83,8,Extinction,0.0555
true,833.01,16,Extinction,0.1028
true,1228.69,24,Extinction,0.1902
true,527.17,10,Extinction,0.0648
true,1200.09,21,Extinction,0.1510
true,1417.15,26,Extinction,0.2219
true,689.02,14,Extinction,0.0881
true,652.25,14,Extinction,0.0881
true,1849.46,31,Extinction,0.3260
true,501.24,9,Extinction,0.0600
true,1258.03,21,Extinction,0.1510
true,1822.32,31,Extinction,0.3260
false,2049.17,35,Corruption,0.4436
true,1622.56,27,Extinction,0.2396
true,1367.73,24,Extinction,0.1902
true,1818.61,33,Extinction,0.3803
true,1699.20,28,Extinction,0.2588
true,1637.13,28,Extinction,0.2588
true,1010.82,18,Extinction,0.1199
true,109.39,3,Extinction,0.0378
true,1529.82,29,Extinction,0.2795
true,1633.65,27,Extinction,0.2396
true,1986.20,33,Extinction,0.3803
true,863.08,18,Extinction,0.1199
false,2013.79,32,Corruption,0.3521
true,1230.01,22,Extinction,0.1631
false,2038.58,32,TCS_AI,0.3521
false,2024.76,36,TCS_AI,0.4790
true,583.61,12,Extinction,0.0755
false,2061.46,32,Corruption,0.3521
true,1691.50,27,Extinction,0.2396
true,1190.04,21,Extinction,0.1510
true,54.47,2,Extinction,0.0350
true,1351.46,24,Extinction,0.1902
true,1198.84,20,Extinction,0.1398
true,1695.81,31,Extinction,0.3260
false,2053.11,33,TCS_Human,0.3803
false,2050.36,31,Corruption,0.3260
true,422.24,10,Extinction,0.0648
true,1316.50,23,Extinction,0.1761
false,2013.00,32,TCS_Human,0.3521
true,1182.87,20,Extinction,0.1398
true,1457.99,26,Extinction,0.2219
true,612.96,12,Extinction,0.0755
true,1757.82,27,Extinction,0.2396
true,230.93,5,Extinction,0.0441
true,898.50,17,Extinction,0.1110
true,1731.88,30,Extinction,0.3019
true,446.90,8,Extinction,0.0555
false,2010.75,30,TCS_Human,0.3019
true,1590.75,27,Extinction,0.2396
true,501.14,8,Extinction,0.0555
true,608.75,9,Extinction,0.0600
false,2043.82,34,Corruption,0.4107
false,2040.93,37,Corruption,0.5174
true,931.08,17,Extinction,0.1110
true,1361.60,25,Extinction,0.2055
false,2039.69,34,TCS_AI,0.4107
false,2046.58,34,TCS_AI,0.4107
true,102.52,4,Extinction,0.0408
false,2005.29,33,Corruption,0.3803
true,651.51,12,Extinction,0.0755
false,2026.49,34,Corruption,0.4107
true,1056.94,19,Extinction,0.1295
true,975.95,15,Extinction,0.0952
true,856.81,15,Extinction,0.0952
true,615.80,12,Extinction,0.0755
true,927.75,16,Extinction,0.1028
true,1301.02,20,Extinction,0.1398
false,2057.54,35,TCS_Human,0.4436
true,1867.88,35,Extinction,0.4436
true,1593.43,31,Extinction,0.3260
true,1684.59,29,Extinction,0.2795
true,1827.67,32,Extinction,0.3521
true,928.60,17,Extinction,0.1110
true,1114.36,20,Extinction,0.1398
true,1088.05,18,Extinction,0.1199
true,1552.16,25,Extinction,0.2055
true,1142.21,18,Extinction,0.1199
true,618.58,12,Extinction,0.0755
false,2052.47,33,Corruption,0.3803
true,1388.09,23,Extinction,0.1761
false,2017.11,33,TCS_AI,0.3803
true,910.92,15,Extinction,0.0952
true,882.94,14,Extinction,0.0881
true,826.93,15,Extinction,0.0952
true,1002.13,18,Extinction,0.1199
true,1528.60,29,Extinction,0.2795
true,1846.50,33,Extinction,0.3803
true,970.41,17,Extinction,0.1110
true,1561.35,26,Extinction,0.2219
true,1223.22,23,Extinction,0.1761
true,995.64,16,Extinction,0.1028
true,1287.07,24,Extinction,0.1902
true,969.05,19,Extinction,0.1295
true,1794.01,31,Extinction,0.3260
true,754.26,15,Extinction,0.0952
true,50.36,2,Extinction,0.0350
true,1789.73,31,Extinction,0.3260
false,2008.47,32,Corruption,0.3521
true,421.49,8,Extinction,0.0555
true,56.71,2,Extinction,0.0350
true,1271.39,24,Extinction,0.1902
false,2004.20,33,TCS_Human,0.3803
true,1283.40,24,Extinction,0.1902
true,1124.50,18,Extinction,0.1199
true,1161.48,20,Extinction,0.1398
true,647.82,11,Extinction,0.0699
true,1847.79,34,Extinction,0.4107
true,1172.10,21,Extinction,0.1510
true,1010.12,18,Extinction,0.1199
true,1325.40,25,Extinction,0.2055
false,2088.26,34,TCS_Human,0.4107
true,1708.25,29,Extinction,0.2795
true,225.26,7,Extinction,0.0514
true,1844.72,31,Extinction,0.3260
true,617.82,10,Extinction,0.0648
true,297.36,5,Extinction,0.0441
true,1308.51,23,Extinction,0.1761
true,975.00,17,Extinction,0.1110
true,1790.87,29,Extinction,0.2795
true,1997.30,36,Extinction,0.4790
true,1597.75,28,Extinction,0.2588
true,74.53,2,Extinction,0.0350
true,1473.47,24,Extinction,0.1902
true,528.26,8,Extinction,0.0555
true,352.17,6,Extinction,0.0476
true,423.24,8,Extinction,0.0555
true,457.89,8,Extinction,0.0555
false,2056.10,32,TCS_Human,0.3521
true,882.08,16,Extinction,0.1028
true,819.43,13,Extinction,0.0816
true,1822.11,28,Extinction,0.2588
true,1088.76,21,Extinction,0.1510
true,605.42,11,Extinction,0.0699
true,438.88,9,Extinction,0.0600
true,1359.29,24,Extinction,0.1902
true,1327.31,22,Extinction,0.1631
true,1290.82,23,Extinction,0.1761
false,2026.76,34,TCS_AI,0.4107
true,1777.92,32,Extinction,0.3521
true,601.93,12,Extinction,0.0755
true,1851.98,27,Extinction,0.2396
true,1387.03,24,Extinction,0.1902
true,138.91,4,Extinction,0.0408
true,888.91,17,Extinction,0.1110
true,1548.27,26,Extinction,0.2219
true,1665.59,30,Extinction,0.3019
false,2024.61,37,TCS_Human,0.5174
true,302.94,6,Extinction,0.0476
true,38.19,2,Extinction,0.0350
true,1474.77,26,Extinction,0.2219
false,2033.34,31,Corruption,0.3260
true,1537.51,27,Extinction,0.2396
false,2044.46,34,Corruption,0.4107
true,1151.81,22,Extinction,0.1631
true,483.16,10,Extinction,0.0648
true,829.74,15,Extinction,0.0952
true,1164.94,17,Extinction,0.1110
true,475.36,9,Extinction,0.0600
false,2009.53,33,Corruption,0.3803
true,1359.57,24,Extinction,0.1902
true,1173.13,21,Extinction,0.1510
false,2053.53,35,Corruption,0.4436
true,856.13,13,Extinction,0.0816
true,1678.18,28,Extinction,0.2588
true,1235.17,21,Extinction,0.1510
false,2011.84,32,TCS_Human,0.3521
false,2041.42,32,Corruption,0.3521
true,1675.15,29,Extinction,0.2795
false,2021.19,33,Corruption,0.3803
true,1379.29,27,Extinction,0.2396
true,246.83,6,Extinction,0.0476
true,1382.47,21,Extinction,0.1510
true,919.89,15,Extinction,0.0952
true,1977.46,32,Extinction,0.3521
true,1668.36,29,Extinction,0.2795
true,864.12,16,Extinction,0.1028
true,1433.14,25,Extinction,0.2055
true,394.18,8,Extinction,0.0555
true,1801.82,30,Extinction,0.3019
true,1366.75,24,Extinction,0.1902
true,1417.04,23,Extinction,0.1761
true,1038.50,21,Extinction,0.1510
true,755.23,15,Extinction,0.0952
true,792.92,13,Extinction,0.0816
true,881.09,15,Extinction,0.0952
true,1467.18,26,Extinction,0.2219
true,1646.85,28,Extinction,0.2588
true,1704.60,31,Extinction,0.3260
true,1349.16,24,Extinction,0.1902
false,2019.60,32,Corruption,0.3521
true,1884.08,34,Extinction,0.4107
true,462.51,9,Extinction,0.0600
true,49.10,2,Extinction,0.0350
true,442.02,10,Extinction,0.0648
true,1891.44,32,Extinction,0.3521
true,1450.51,26,Extinction,0.2219
true,1656.54,30,Extinction,0.3019
true,1174.54,22,Extinction,0.1631
true,566.85,10,Extinction,0.0648
true,177.22,4,Extinction,0.0408
true,993.58,17,Extinction,0.1110
true,1733.09,31,Extinction,0.3260
true,1576.96,27,Extinction,0.2396
true,322.43,7,Extinction,0.0514
true,782.63,16,Extinction,0.1028
true,1492.56,26,Extinction,0.2219
true,418.29,9,Extinction,0.0600
true,1584.70,26,Extinction,0.2219
true,1729.21,30,Extinction,0.3019
false,2011.66,33,TCS_Human,0.3803
true,566.92,10,Extinction,0.0648
true,850.22,15,Extinction,0.0952
true,1814.03,30,Extinction,0.3019
true,1316.16,21,Extinction,0.1510
true,44.99,2,Extinction,0.0350
true,644.78,12,Extinction,0.0755
true,1532.28,27,Extinction,0.2396
true,1600.52,27,Extinction,0.2396
true,1316.57,24,Extinction,0.1902
true,1862.85,33,Extinction,0.3803
true,1363.43,22,Extinction,0.1631
false,2027.98,32,Corruption,0.3521
false,2026.96,34,Corruption,0.4107
true,529.63,10,Extinction,0.0648
true,463.82,10,Extinction,0.0648
true,82.10,2,Extinction,0.0350
true,237.51,6,Extinction,0.0476
true,1870.77,30,Extinction,0.3019
true,1824.73,29,Extinction,0.2795
true,1164.44,20,Extinction,0.1398
true,291.65,6,Extinction,0.0476
true,1234.92,20,Extinction,0.1398
true,1540.58,26,Extinction,0.2219
true,762.17,14,Extinction,0.0881
true,1258.42,23,Extinction,0.1761
true,1720.35,29,Extinction,0.2795
true,926.73,17,Extinction,0.1110
true,167.99,4,Extinction,0.0408
true,1394.62,23,Extinction,0.1761
true,589.82,11,Extinction,0.0699
true,173.13,5,Extinction,0.0441
true,685.87,13,Extinction,0.0816
true,850.16,16,Extinction,0.1028
true,1310.38,23,Extinction,0.1761
true,1312.98,24,Extinction,0.1902
true,1440.15,26,Extinction,0.2219
true,54.52,2,Extinction,0.0350
true,1524.77,26,Extinction,0.2219
true,482.73,8,Extinction,0.0555
true,1893.11,30,Extinction,0.3019
true,724.02,14,Extinction,0.0881
true,1924.22,32,Extinction,0.3521
true,984.65,16,Extinction,0.1028
false,2002.78,35,Corruption,0.4436
true,681.21,12,Extinction,0.0755
true,1556.81,28,Extinction,0.2588
true,1736.75,29,Extinction,0.2795
true,1953.29,37,Extinction,0.5174
true,1306.69,23,Extinction,0.1761
false,2017.26,30,Corruption,0.3019
true,1253.16,22,Extinction,0.1631
true,548.34,10,Extinction,0.0648
true,700.09,13,Extinction,0.0816
true,1430.68,23,Extinction,0.1761
true,392.02,7,Extinction,0.0514
false,2051.70,34,TCS_AI,0.4107
true,1540.76,29,Extinction,0.2795
false,2030.79,32,TCS_Human,0.3521
true,902.19,15,Extinction,0.0952
true,1318.77,22,Extinction,0.1631
true,1695.66,30,Extinction,0.3019
true,1214.25,23,Extinction,0.1761
true,1162.35,21,Extinction,0.1510
true,1753.04,29,Extinction,0.2795
true,1126.47,18,Extinction,0.1199
true,1276.74,25,Extinction,0.2055
true,280.84,7,Extinction,0.0514
true,1355.88,23,Extinction,0.1761
true,787.69,15,Extinction,0.0952
true,1060.87,20,Extinction,0.1398
true,840.68,14,Extinction,0.0881
true,1451.19,23,Extinction,0.1761
true,1808.56,35,Extinction,0.4436
true,388.72,6,Extinction,0.0476
true,1373.54,23,Extinction,0.1761
true,1670.41,30,Extinction,0.3019
true,1348.56,24,Extinction,0.1902
true,1532.23,27,Extinction,0.2396
true,625.90,11,Extinction,0.0699
true,1193.28,23,Extinction,0.1761
true,562.90,10,Extinction,0.0648
true,557.26,11,Extinction,0.0699
false,2044.27,32,TCS_AI,0.3521
true,1825.41,32,Extinction,0.3521
true,1621.67,28,Extinction,0.2588
true,1779.65,34,Extinction,0.4107
true,1447.48,25,Extinction,0.2055
true,1799.13,31,Extinction,0.3260
false,2037.53,33,TCS_AI,0.3803
true,1348.26,23,Extinction,0.1761
true,740.51,15,Extinction,0.0952
false,2021.61,33,TCS_Human,0.3803
true,1610.57,27,Extinction,0.2396
true,1723.03,27,Extinction,0.2396
true,1869.08,31,Extinction,0.3260
true,1123.72,20,Extinction,0.1398
true,408.74,8,Extinction,0.0555
true,750.41,14,Extinction,0.0881
true,424.82,8,Extinction,0.0555
true,1442.08,24,Extinction,0.1902
true,1105.91,20,Extinction,0.1398
true,1513.13,27,Extinction,0.2396
true,471.82,8,Extinction,0.0555
true,1368.79,25,Extinction,0.2055
true,635.00,13,Extinction,0.0816
true,1471.64,24,Extinction,0.1902
true,769.18,15,Extinction,0.0952
true,388.14,7,Extinction,0.0514
true,1812.72,29,Extinction,0.2795
true,1939.93,31,Extinction,0.3260
false,2051.24,33,Corruption,0.3803
true,629.44,12,Extinction,0.0755
true,1090.20,18,Extinction,0.1199
true,708.05,13,Extinction,0.0816
true,941.42,16,Extinction,0.1028
false,2030.11,32,Corruption,0.3521
true,412.29,10,Extinction,0.0648
true,428.37,8,Extinction,0.0555
true,682.31,12,Extinction,0.0755
true,1981.17,36,Extinction,0.4790
true,1658.65,31,Extinction,0.3260
true,1275.64,20,Extinction,0.1398
false,2040.14,33,TCS_Human,0.3803
true,187.21,4,Extinction,0.0408
true,1549.61,26,Extinction,0.2219
true,1401.44,24,Extinction,0.1902
true,1339.04,22,Extinction,0.1631
true,1352.50,22,Extinction,0.1631
true,412.81,8,Extinction,0.0555
false,2078.07,33,TCS_Human,0.3803
true,643.10,12,Extinction,0.0755
true,538.73,12,Extinction,0.0755
true,1195.97,20,Extinction,0.1398
true,949.28,16,Extinction,0.1028
true,1606.11,28,Extinction,0.2588
true,1246.13,23,Extinction,0.1761
false,2012.52,32,TCS_Human,0.3521
true,1505.32,27,Extinction,0.2396
false,2015.43,33,TCS_Human,0.3803
true,1564.51,27,Extinction,0.2396
false,2030.63,31,Corruption,0.3260
true,1609.30,28,Extinction,0.2588
true,919.57,17,Extinction,0.1110
true,1886.65,32,Extinction,0.3521
false,2011.51,32,Corruption,0.3521
true,1510.95,26,Extinction,0.2219
true,920.90,18,Extinction,0.1199
true,1755.53,30,Extinction,0.3019
true,1249.10,21,Extinction,0.1510
true,700.25,12,Extinction,0.0755
true,1361.62,22,Extinction,0.1631
true,809.39,16,Extinction,0.1028
true,1022.97,18,Extinction,0.1199
false,2004.46,33,TCS_AI,0.3803
true,844.52,15,Extinction,0.0952
true,1142.34,18,Extinction,0.1199
true,609.98,10,Extinction,0.0648
false,2043.51,31,TCS_Human,0.3260
false,2074.62,31,TCS_Human,0.3260
false,2023.81,34,TCS_AI,0.4107
true,940.27,16,Extinction,0.1028
true,689.57,13,Extinction,0.0816
true,521.34,11,Extinction,0.0699
true,1196.72,21,Extinction,0.1510
true,1353.21,25,Extinction,0.2055
true,681.06,12,Extinction,0.0755
true,1095.54,18,Extinction,0.1199
true,1038.76,17,Extinction,0.1110
true,661.76,13,Extinction,0.0816
true,1484.16,26,Extinction,0.2219
true,845.51,15,Extinction,0.0952
true,1368.71,23,Extinction,0.1761
true,1617.16,26,Extinction,0.2219
true,742.75,15,Extinction,0.0952
false,2037.40,34,Corruption,0.4107
true,1094.43,19,Extinction,0.1295
true,1577.24,27,Extinction,0.2396
true,929.45,17,Extinction,0.1110
true,186.63,4,Extinction,0.0408
true,1047.99,18,Extinction,0.1199
true,886.68,14,Extinction,0.0881
true,200.56,5,Extinction,0.0441
false,2037.37,35,Corruption,0.4436
false,2059.95,35,Corruption,0.4436
true,265.69,5,Extinction,0.0441
true,960.20,15,Extinction,0.0952
true,396.56,8,Extinction,0.0555
true,858.93,15,Extinction,0.0952
true,959.93,16,Extinction,0.1028
true,183.17,5,Extinction,0.0441
true,1295.28,22,Extinction,0.1631
false,2050.32,34,Corruption,0.4107
true,1307.22,24,Extinction,0.1902
true,1156.78,18,Extinction,0.1199
true,1774.36,31,Extinction,0.3260
true,1234.94,20,Extinction,0.1398
true,1543.44,26,Extinction,0.2219
true,1144.85,22,Extinction,0.1631
false,2074.56,35,TCS_AI,0.4436
true,1985.50,35,Extinction,0.4436
true,1991.57,32,Extinction,0.3521
true,937.97,17,Extinction,0.1110
true,1403.95,24,Extinction,0.1902
true,186.13,4,Extinction,0.0408
true,1199.46,23,Extinction,0.1761
true,1204.40,22,Extinction,0.1631
